"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  ","Carl","Verified Purchase","Reviewed in Australia on 25 January 2024","4.3 out of 5 stars","        Very happy with the product , works really well  "
"2","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  ",NA,"Verified Purchase","Reviewed in Australia on 27 September 2022","5.0 out of 5 stars","        Flashing blue light annoying. Does it's job for $10  "
"3","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  ",NA,NA,NA,"4.3 out of 5 stars",NA
"4","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  ",NA,NA,NA,"3.0 out of 5 stars",NA
"5","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  ",NA,NA,NA,NA,NA
"6","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  ",NA,NA,NA,NA,NA
"7","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  ",NA,NA,NA,NA,NA
"8","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  ",NA,NA,NA,NA,NA
"9","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  ",NA,NA,NA,NA,NA
"10","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  ",NA,NA,NA,NA,NA
"11","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  ",NA,NA,NA,NA,NA
