"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Nokia Wireless Earbuds, Bluetooth 5.3 Earphones in Ear with Dual ENC Noise Cancelling Mic,Touch Control Earbuds Deep Bass Stereo Sound, 20H Playtime Wireless Headphones, Black E3102Plus (Black)  ","Ngoc Nguyen","Verified Purchase","Reviewed in Australia on 21 September 2021","4.3 out of 5 stars","        Use these with my digital piano for late night playing. Sound monitoring is as good as needs to be for this use. Better sound from my HD599 headphones but for long sessions of playing these earphones are great to avoid ear fatigue.Perfect product for this price, especially with all the accessories that comes with it.  "
"2","Nokia Wireless Earbuds, Bluetooth 5.3 Earphones in Ear with Dual ENC Noise Cancelling Mic,Touch Control Earbuds Deep Bass Stereo Sound, 20H Playtime Wireless Headphones, Black E3102Plus (Black)  ","Paul Bussell","Verified Purchase","Reviewed in Australia on 19 January 2024","5.0 out of 5 stars","        I love this product. I wear them with Zoom calls, using the microphone of the computer or a seperate microphone. As they are clear coloured and the cables are arranged neatly at the back people can hardly see them, so visually I look better, more professional. Plus, as they are foam in-ear plugs (very comfortable) there is no feedback to my microphone, and so my voice is clearer with no echo. Oh... they sound great too. Now, even though the cable is a generous length I do use an extension 3.5 mini to mini cable, so its easy for me to get back from my computer if I want. I leave them on and just unplug when leaving my computer. The little shirt clip stops them falling off. They really though of everything. Packaging and accessories are well thought out as well. You can definitely buy this brand with confidence. I learnt about them from some live streaming pros who recommended them.  "
"3","Nokia Wireless Earbuds, Bluetooth 5.3 Earphones in Ear with Dual ENC Noise Cancelling Mic,Touch Control Earbuds Deep Bass Stereo Sound, 20H Playtime Wireless Headphones, Black E3102Plus (Black)  ","Ngoc Nguyen","Verified Purchase","Reviewed in Australia on 21 September 2021","3.0 out of 5 stars","        The sound quality is reasonable; the range of silicone earpieces ensures that they will fit most people. I'm still tinkering with the fit.The sound is clear in a live situation and not bad for a single-driver headset.  "
"4","Nokia Wireless Earbuds, Bluetooth 5.3 Earphones in Ear with Dual ENC Noise Cancelling Mic,Touch Control Earbuds Deep Bass Stereo Sound, 20H Playtime Wireless Headphones, Black E3102Plus (Black)  ","Jamie","Verified Purchase","Reviewed in Australia on 19 November 2020","5.0 out of 5 stars","        For the price these were very useful as I use them for live worship singing & playing guitar. They are easy to adjust & the sound quality is crisp for my hearing.  "
"5","Nokia Wireless Earbuds, Bluetooth 5.3 Earphones in Ear with Dual ENC Noise Cancelling Mic,Touch Control Earbuds Deep Bass Stereo Sound, 20H Playtime Wireless Headphones, Black E3102Plus (Black)  ","Jamie","Verified Purchase","Reviewed in Australia on 23 May 2022","5.0 out of 5 stars","        Beautiful fit and awesome sound  "
"6","Nokia Wireless Earbuds, Bluetooth 5.3 Earphones in Ear with Dual ENC Noise Cancelling Mic,Touch Control Earbuds Deep Bass Stereo Sound, 20H Playtime Wireless Headphones, Black E3102Plus (Black)  ","Bruce Burton","Verified Purchase","Reviewed in Australia on 16 July 2021","5.0 out of 5 stars","      Super produit mais un peu de mal parfois à rester derrière l’oreille c’est lier au câble la rigidité et le diamètreSinon je le recommande toutes fois une très bonne ecoute    "
"7","Nokia Wireless Earbuds, Bluetooth 5.3 Earphones in Ear with Dual ENC Noise Cancelling Mic,Touch Control Earbuds Deep Bass Stereo Sound, 20H Playtime Wireless Headphones, Black E3102Plus (Black)  ","peter edson","Verified Purchase","Reviewed in Australia on 7 October 2021","5.0 out of 5 stars","      Die Kopfhörer sind sehr gut und haben einen äußerst guten Klang bei geliefert wird ein zusätzliches Kabel (welches ein Mikrofon hat), eine Tasche zum Schutz, mehrere Silicon aufsätze und noch mehr. Also ein großer liefer Umfang. Die Qualität ist sehr gut und die kopfhörer sehen sehr ansprechend aus.    "
"8","Nokia Wireless Earbuds, Bluetooth 5.3 Earphones in Ear with Dual ENC Noise Cancelling Mic,Touch Control Earbuds Deep Bass Stereo Sound, 20H Playtime Wireless Headphones, Black E3102Plus (Black)  ","Perriman Rowell","Verified Purchase","Reviewed in France on 10 April 2020","5.0 out of 5 stars","      Un producto magnifico por su bajo precio en relación a otros audífonos de similares características en el mercado. Por ponerle un pero debo reseñar que las almohadillas de espuma incluidas vinieron completamente deshechas por el calor del mes de agosto que hubo en agosto. Nada que no se pueda solucionar comprando otro par de almohadillas en amazon.    "
"9","Nokia Wireless Earbuds, Bluetooth 5.3 Earphones in Ear with Dual ENC Noise Cancelling Mic,Touch Control Earbuds Deep Bass Stereo Sound, 20H Playtime Wireless Headphones, Black E3102Plus (Black)  ","Client d'Amazon","Verified Purchase","Reviewed in Germany on 16 February 2019","5.0 out of 5 stars","        6-month EDIT: Still great sound quality and durability. Due to personal issues with fit, and other minor details, I'd alter my rating to *4.5*.I've grown to really like the sound from these. I'm happy to use them for casual mixing (with caveats) when I don't want to use headphones, and I'm impressed with the build and ruggedness. They make me want to listen to music for the fun of it, and that's something. The isolation is hilariously good if you get a good fit, almost as good as putting in foam earplugs, even though you don't stuff these into the ear canal.Sonically, even with a 5mm driver the sound is impressive, with good detail up top and with the low bass tending towards ""fun"" rather than accurate. Personally I like that for the price, it makes audio exciting, makes this more of an all-rounder. That bass doesn't muddy the low mids - it's just a bit of supplementation to support the rest of the sound. The high mids are good for music but a little too prominent for speech, leading sometimes to more sibilance than I'd like around 6kHz. But that's the only thing I'd want changing, sound-wise, and it doesn't actually bother me on music. If you don't like the bass here, it's pretty easy to EQ it down on most smartphones by about 2dB, without artefacts.Not at all a super wide soundstage like you get with a Campfire Audio earphones, but they would cost 20 times the price of this. I like the immediacy of this set. If I want soundstage, I'll go for listening with open-back headphones.Build is solid with plenty of accessories; good carry case, two cables (one with mic), plenty of silicone tips (inc. large and small triple flanges) and one set of foam earphones as well. That second cable with a mic is great in case one cable breaks (seems unlikely), and it doesn't affect the sound quality at all. However, the mic quality is poor, very muffled, so I'd save it for short calls when you're not in noisy environment. I keep that cable on purely for the play/pause button - or assistant if you wish. Cables are really nice and strong, but there's a fair bit of cable noise. Strangely though you get used to this, and there's an included clip which might help.Comfort-wise, they took a bit of getting used to. The cables are detachable - though they aid the noise isolation by creating the seal, so keep them attached for best isolation. The memory wire works with a metal wire encased with the cabling for about 8cm from the earphone. Because of this, the wire's profile is larger and slightly stretched, and can get in the way of larger glasses' stalks. It takes some days of getting used to but it's worth the experimentation. They also help to relieve stress on the earphone if they get yanked out accidentally, and when running, they do keep the earphones on the ear rather than falling to the ground.But the fit is still really incumbent on the main module fitting well, and with my small ears, I've found that even when walking, they come loose sooner than I want, regardless of tips used (maybe I should get some custom ones). If I put on a sprint, they'll be loose very quickly, and you lose all the bass if the fit is off. But that's just my ears, you might honestly find them perfect running partners. When I'm not moving around they stay in place well. Not headphone-well, but enough that it doesn't bother me.For sure though, they're not the best for side-sleepers listening at night. They're a fair bit larger than, say, Apple's old earphones, which for all their faults are probably my pick for that use case, with their very flat profile.A few misconceptions:1. These are noise isolating, but not noise cancelling. Don't expect the sudden eerie quiet you get from a Bose QuietComfort or Sony WH-1000 series when you turn those on. However, the isolation is so good that I have trouble understanding the person speaking next to me even indoors, especially with the Comply foam tips used. From reading tech reviews, these apparently isolate nearly as well as Shure earphones, which have the best isolation around. No reason to doubt this.2. These aren't for high-level mixing. Reference sound quality is never this inexpensive. They would work well for monitoring audio on location, because they isolate so well, and the bass boost will compensate for the bass frequencies from the environment which are impossible to isolate out. I've also used these on stage but I don't recommend that. The isolation is just too good you can't make out anything else properly. I ended up taking them off on that occasion.Overall then, for earphones with wires going over the ear, these are probably the best value around. I got the clear pair for £35. Expect a solid build and good sound quality, and be prepared to spend some time getting the right fit for your ears. If you want something better, you'll probably need to spend more. I've enjoyed having these beside my AKG K702, Bose QC25, SoundMAGIC E30, and Earpods. All very different, all useful. The M6 PRO 2nd are the best all-rounders of them all!  "
"10","Nokia Wireless Earbuds, Bluetooth 5.3 Earphones in Ear with Dual ENC Noise Cancelling Mic,Touch Control Earbuds Deep Bass Stereo Sound, 20H Playtime Wireless Headphones, Black E3102Plus (Black)  ","Tim","Verified Purchase","Reviewed in Spain on 23 August 2019","5.0 out of 5 stars","      Cuffie acquistate per uso professionale, sono un musicista e per il monitoraggio personale utilizzo un sistema di in-ear monitoring wireless, ero alla ricerca di un paio di cuffie che avessero due requisiti in particolare: comodità nel padiglione perchè le utilizzo praticamente tutti i giorni e qualità e definizione del suono per proteggere e non affaticare troppo le orecchie.Nel corso degli anni ho provato parecchie cuffie, anche le più blasonate, devo dire però che sulla fascia di prezzo che mi interessava, c'era sempre qualche piccolo difetto che non mi lasciava completamente soddisfatto.Chiaramente la soluzione più semplice, ma anche la più costosa è rivolgersi a qualche azienda e farsi fare le cuffie su misura, quindi provvedere ad effettuare il calco del padiglione eccetera, volevo però dare un'opportunità a questo prodotto consigliatomi da un collega.Inizialmente il prezzo un po' sotto la media mi ha lasciato qualche dubbio ma dopo averle acquistate, con mio grande stupore, mi sono dovuto ricredere, tengono testa a prodotti di fascia ben superiore.L'isolamento acustico è perfetto, scegliendo i giusti ""tips"" ma ne parlerò dopo, la qualità e la definizione dei driver interni sono le cose che mi hanno lasciato di stucco, il suono è equilibrato, non c'è scompenso tra le frequenze ed è tutto molto ""reale"" e definito, nessuna esasperazione sulle basse come altri modelli o esaltazione delle medio-alte come in altri, è tutto lì dove deve essere e per me che sono un cantante è molto importante avere questo tipo di feeling con la cuffia.Aspetto tecnico: montano un driver ""dinamico"" o ""voice coil"", da 10mm, questo tipo di driver viene utilizzato nella maggior parte delle cuffie per due motivi: basso prezzo e capacità di coprire una vasta gamma di frequenze.Parliamo infatti di una risposta in frequenza nominale di 20Hz-20kHzIl diaframma nei driver dinamici ha più spazio per vibrare, rendendolo in grado di produrre bassi più reattivi – sebbene nella maggior parte dei prodotti questo tipo di driver non fornisce il suono più dettagliato (al contrario dei ""balanced armature"" che fanno della definizione il loro punto di forza) in questo modello per fortuna è abbastanza preciso.Dico per fortuna, perchè in questo tipo di cuffie è molto facile che il suono sia impastato o che ci sia della distorsione proprio per come è costruito il driver, sebbene siano la scelta più utilizzata visto che consente loro di raggiungere volumi più elevati con una minore impedenza e parliamo di 16 Ohms @ 1K con una sensibilità di 100+-3dB (1mW @ 1KHZ).Costruzione: La costruzione della cuffia è abbastanza semplice, senza troppi fronzoli ma i materiali sembrano molto resistenti, il cavo è intercambiabile come nei modelli ben più costosi, così da non dover cambiare tutta la cuffia per intero visto che di solito ad usurarsi per primo è sempre il cavo, lungo 130cm e molto flessibile e sembra abbastanza resistente da non dover dare troppe preoccupazioni.Il connettore è un ""mini jack"" da 3.5mm placcato in oro e il cavo è realizzato in materiale ""memory wire"", cioè capace di mantenere la forma nella parte che va dietro all’orecchio, il che permette di ancorarle saldamente al padiglione uditivo.Nella confezione troverete, come da foto, oltre alle cuffie, un cavo solo audio e un cavo di riserva con microfono e chiaramente a seconda delle esigenze userete quello più consono, 6 ""tips"" in silicone di 3 formati diversi se non avete bisogno di isolamento acustico e una coppia di ""tips"" in foam, personalmente prenderò altri di questi di scorta perchè sono quelli che mi interessano e che danno isolamento acustico.Un adattatore TRS da 6.3mm, il tutto in una bellissima e comodissima custodia per il trasporto.In conclusione, sia che stiate cercando delle cuffie per uso non professionale ma che vi diano soddisfazione nell'ascolto della musica, sia che abbiate bisogno di una cuffia in-ear che sia prestante ad un prezzo vantaggioso, questo è il prodotto che fa per voi!Spedizione e servizio amazon sempre al top, 5 stelle meritatissime!    "
