"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Linsoul Kiwi Ears Cadenza 10mm Beryllium Dynamic Driver IEM 3D Printed with Detachable Interchangeable Plug 0.78 2pin 3.5mm IEM Cable for Musician Audiophile (Blue, Cadenza)  ","Amazon Customer","Verified Purchase","Reviewed in Australia on 17 June 2022","4.1 out of 5 stars","        Bought a set for my interstate boss as could never hear him on a Teams call, been working perfectly for months now and he loves them.  "
"2","Linsoul Kiwi Ears Cadenza 10mm Beryllium Dynamic Driver IEM 3D Printed with Detachable Interchangeable Plug 0.78 2pin 3.5mm IEM Cable for Musician Audiophile (Blue, Cadenza)  ","宮川一輝","Verified Purchase","Reviewed in Japan on 18 May 2022","5.0 out of 5 stars","      デザイン性も良く音も良い！    "
"3","Linsoul Kiwi Ears Cadenza 10mm Beryllium Dynamic Driver IEM 3D Printed with Detachable Interchangeable Plug 0.78 2pin 3.5mm IEM Cable for Musician Audiophile (Blue, Cadenza)  ","Mikey","Verified Purchase","Reviewed in the United Kingdom on 4 November 2023","5.0 out of 5 stars","        Great headphones..great sound and very comfortable !  "
"4","Linsoul Kiwi Ears Cadenza 10mm Beryllium Dynamic Driver IEM 3D Printed with Detachable Interchangeable Plug 0.78 2pin 3.5mm IEM Cable for Musician Audiophile (Blue, Cadenza)  ","luis","Verified Purchase","Reviewed in Spain on 11 January 2024","5.0 out of 5 stars","      Buenos bajos y la demas frecuencias no quedan atras. Muy comodos, vengo de jbl y ya no pienso volver mis dos anteriores jbl se escuchan peor y ademas se dejo de escuchar un auricular del dia a la mañana en los dos.    "
"5","Linsoul Kiwi Ears Cadenza 10mm Beryllium Dynamic Driver IEM 3D Printed with Detachable Interchangeable Plug 0.78 2pin 3.5mm IEM Cable for Musician Audiophile (Blue, Cadenza)  ","Merido","Verified Purchase","Reviewed in Germany on 10 September 2023","5.0 out of 5 stars","      Habe bisher über meine Kind Hörgeräte Musik bein Laufen gehört. Aber bei Straßenlärm wird dieser nicht gedämpft, sonder noch verstärkt. Also bleiben meine „Ohren zu Hause in der Ladestation. Bisher einmal draußen getragen - ist eine Wohltat für die Ohren!    "
"6","Linsoul Kiwi Ears Cadenza 10mm Beryllium Dynamic Driver IEM 3D Printed with Detachable Interchangeable Plug 0.78 2pin 3.5mm IEM Cable for Musician Audiophile (Blue, Cadenza)  ","Client d'Amazon","Verified Purchase","Reviewed in France on 27 August 2021","5.0 out of 5 stars","      Déjà utilisé    "
"7","Linsoul Kiwi Ears Cadenza 10mm Beryllium Dynamic Driver IEM 3D Printed with Detachable Interchangeable Plug 0.78 2pin 3.5mm IEM Cable for Musician Audiophile (Blue, Cadenza)  ","Andrea Di Bella","Verified Purchase","Reviewed in Italy on 25 August 2023","5.0 out of 5 stars","      Sennheiser è un marchio di qualità nell'ambito dell'audioQueste cuffie non sono da menoBelle a vedersiCostruite con materiali di qualitàComodeOttimo resa sonoraMicrofono privo di fruscii e disturbiCostano un pò di più della media ma valgono ogni centesimoNon stancano anche dopo lunghe sessioni di callConsigliate    "
"8","Linsoul Kiwi Ears Cadenza 10mm Beryllium Dynamic Driver IEM 3D Printed with Detachable Interchangeable Plug 0.78 2pin 3.5mm IEM Cable for Musician Audiophile (Blue, Cadenza)  ","Raimana Monheim","Verified Purchase","Reviewed in Spain on 20 August 2021","5.0 out of 5 stars","      Son originales 100% para todas las reseñas que dicen que no lo son... Suenan muy bien y siempre he tenido Sennheiser. No es el volumen desorbitado para dejarte sordo pero solo se puede apreciar un precio más que ajustado y un gran producto... Yo los recomiendo sin dudarlo. El tacto de los auriculares y su bolsa para guardalos también demuestran su originalidad.    "
"9","Linsoul Kiwi Ears Cadenza 10mm Beryllium Dynamic Driver IEM 3D Printed with Detachable Interchangeable Plug 0.78 2pin 3.5mm IEM Cable for Musician Audiophile (Blue, Cadenza)  ","Raimana Monheim","Verified Purchase","Reviewed in Germany on 23 December 2020","5.0 out of 5 stars","      Gute, robuste Kopfhörer, die sehr bequem und angenehm zu tragen sind. Qualitativ gut verarbeitet, viel besser als das Vorgängermodell CX 2.00G. Lautstärkeregelung haben sie leider keine, abwr großartig schlimm finde ich das nicht. Gutes Preis-leistungsverhältnis, für knapp 40€ bekommt man ein Produkt von einer großartigen Marke in super Qualität. Ich denke, die Kopfhörer werden mir wie das Vorgängermodell auch ein paar Jahre dienen. Der Sound ist für In-Ear-Kopfhörer echt gut. Würde definitiv immer Sennheiser Kopfhörer anderen Marken gegenüber bevorzugen.    "
"10","Linsoul Kiwi Ears Cadenza 10mm Beryllium Dynamic Driver IEM 3D Printed with Detachable Interchangeable Plug 0.78 2pin 3.5mm IEM Cable for Musician Audiophile (Blue, Cadenza)  ","Kartoffelbaum","Verified Purchase","Reviewed in Japan on 10 March 2021","5.0 out of 5 stars","      不自由なく使えました！自分が機械音痴なんでリモコン操作は苦手ですが音質なども問題無さそうです！壊れないことを願うばかりです！    "
